"OVCH1"
"VAV3"
"MAP3K9"
"TATDN2"
"OR10G4"
"CPNE5"
"GAB2"
"POLI"
"GSDMA"
"OR5L1"
"ARPP21"
"XYLT1"
"PSG4"
"WISP3"
"ROBO2"
"DSG2"
"C1orf101"
"GIMAP2"
"RRP12"
"LDLRAD3"
"RET"
"PRDM9"
"KLHL4"
"TRHDE"
"ERCC6"
"UNC13C"
"OTOA"
"FLG"
"CPNE1"
"OR6M1"
"ZNF131"
"CLMN"
"RPRD2"
"ITGAM"
"PLEKHH1"
"LRRC4C"
"TECPR2"
"ZNF236"
"DDX50"
"AGL"
"CAPN1"
"AFF1"
"HTR2B"
"KIF20B"
"RGPD3"
"DLC1"
"KCNG3"
"ERBB4"
"C7orf72"
"OR5D18"
"CSPG4"
"RNF212"
"PRTG"
"CLEC6A"
"RPAP2"
"TNS3"
"ITGA5"
"SASH1"
"AGPAT4"
"NKX3-1"
"PITX2"
"OR13A1"
"AC009365.3"
"RGS7"
"LRP1B"
"GTF3C1"
"GP2"
"AC093393.1"
"ARHGAP35"
"TSHZ3"
"SLC17A8"
"OR52B6"
"ARHGAP31"
"MAT2A"
"MUC5B"
"LRFN5"
"KIAA0889"
"SH3TC1"
"SVOPL"
"SLIT3"
"PCDHG_cluster"
"SLC7A13"
"GRM7"
"RP11-1000B6.4"
"ACTRT1"
"FGD5"
"IMPA1"
"TM6SF2"
"HEATR1"
"DSEL"
"CCNE2"
"DUOX1"
"SPTA1"
"CCDC76"
"OPN5"
"SRP54"
"CACNA1E"
"BTBD1"
"ANKRD26"
"PWP2"
"VPRBP"
"DICER1"
"UBQLNL"
"PFKM"
"KCNV1"
"PRPS1L1"
"STK16"
"SYNGR1"
"GTSE1"
"MAGEB1"
"PREX1"
"EPB41L3"
"COL11A1"
"FAM75A3"
"KIAA1409"
"FBXO3"
"MDGA2"
"BACH1"
"NAV2"
"CASP12"
"NEUROD6"
"PSG2"
"UGT2B4"
"NTM"
"TGM6"
