"INTS1"
"SERINC4"
"ZNF724P"
"C15orf29"
"STT3B"
"IDH3A"
"SEMA3E"
"RXFP1"
"FMO3"
"SHC3"
"TEX15"
"UGT3A2"
"IL17RE"
"SIRPG"
"CYP11B2"
"USHBP1"
"KCNS1"
"OTUD6B"
"ARRDC5"
"MCTP1"
"FRMD7"
"SCLT1"
"KPRP"
"ARL16"
"MED12L"
"STAMBP"
"PHLDB1"
"BMPR1B"
"BPNT1"
"KDELC1"
"SLX4"
"VPS33A"
"BPI"
"ATXN2L"
"SLC12A9"
"PGM1"
"SDHA"
"MYO5C"
"MCM4"
"OR2T4"
"LACRT"
"NEU2"
"IRS1"
"SYNJ1"
"HP1BP3"
"DPP6"
"IGSF21"
"SYN2"
"CNTNAP4"
"DCAF8L1"
"EEFSEC"
"CCDC93"
"GLRA4"
"GOLGA8J"
"ABCA5"
"ATP11B"
"FAM38B"
"TRPA1"
"C10orf18"
"IK"
"OFCC1"
"KLHL14"
"UGT2A1"
"CACNA1B"
"GGT6"
"ARHGAP15"
"TMEM74"
"ZEB2"
"TARBP1"
"C8orf46"
"CSTL1"
"SLC5A6"
"KRTAP13-4"
"SAFB2"
"PALLD"
"PDZD3"
"EIF4G1"
"MYO18B"
"CTDSP1"
"RYR2"
"SYF2"
"KIF6"
"AHCYL1"
"LRP1B"
"METTL15"
"CYP1A1"
"KAT6B"
"NBN"
"AKAP12"
"ADAM17"
"PPP2R3A"
"NPAS3"
"SLC2A10"
"ANKRD43"
"SLC36A1"
"SLCO1C1"
"C1orf110"
"ODZ3"
"GOLGA3"
"FCRL5"
"OR2L13"
"COL21A1"
"GEMIN4"
"SERINC3"
"CHRNG"
"CASR"
"HR"
"TAF5L"
"SLCO1B3"
"C5orf58"
"C20orf4"
"VAT1L"
"SORCS3"
"MARK1"
"GCG"
"EFNA3"
"MUC19"
"TAGLN3"
"TBX20"
"GRIA1"
"ZMYND8"
"CORO7"
"APCDD1L"
"SETBP1"
"SNAP25"
"ZBTB2"
"SULF2"
"TAS2R43"
"FAM135B"
"RP11-551L14.1"
"FAM184B"
"LIG1"
"C3orf30"
"OR2T5"
"KIAA0368"
"MDN1"
"ADAM15"
"SMARCA4"
"OR2T3"
"NTNG1"
"IPO8"
"OR4F15"
"ZFP42"
"NNT"
"DLGAP2"
"NALCN"
"ATP8B4"
"SLC12A8"
"DARS2"
"MCF2L2"
"GGT5"
"KIAA1549"
"LILRB2"
"PLD1"
"VWCE"
"KIAA0146"
"SLIT2"
"CRB1"
"ZNF418"
"UNC5C"
"SCUBE1"
"SLCO6A1"
"NAIP"
"KIF23"
"OCA2"
"TRPM8"
"GPR115"
"LRRC37B"
"CACNA1G"
"TANC2"
"CSF1R"
"TRPC6"
"HMCN1"
"MORN2"
"DHRS2"
"GCC2"
"CACNB2"
"SPAG17"
"FLT3"
"EPHX2"
"MAVS"
"KRTAP10-10"
"EFNA5"
"ACRV1"
"EGR1"
"CD69"
"EDIL3"
"PRB3"
"AEBP2"
"BMI1"
"OR2W3"
"PPEF2"
"NKIRAS2"
"USH2A"
"ADGB"
"AC010872_2"
"PKHD1"
"MYH1"
"KIFAP3"
"TTC37"
"STAG3"
"SAMD9L"
"SLC9A9"
"EFHA2"
"PHF19"
"EDA2R"
"DDR2"
"ACACA"
"TTC28"
"NHEDC1"
"PCDHA1"
"AIPL1"
"STK11"
"SPP1"
"PCDHA2"
"MYH6"
"RP1L1"
"MC2R"
"GAS2L3"
"KANK4"
"SLC17A6"
"CD1A"
"BDKRB2"
"PSIP1"
"CNTN1"
"MAPK6"
"AQP7"
"SLC17A5"
"DPF3"
"CCDC115"
"OXCT1"
"DNAH8"
"ZNF37A"
"RUSC1"
"CCDC141"
"KLHL15"
"ZIM2"
"PPARGC1B"
"TRPS1"
"NXPH2"
"ZNF487P"
"MMP1"
"FKBP1C"
"SPATA2"
"SH3PXD2A"
"FREM3"
"AIM1L"
"MYLK"
"RYR1"
"OR10S1"
"NIPAL4"
"AC092329.1"
"PTGS1"
"EHBP1"
"PTPRB"
"UNC5A"
"HTR3D"
"ENOX1"
"RNF40"
"WNT3A"
"MAGEC1"
"TAF1A"
"ZNF208"
"ANK1"
"CTNND1"
"C11orf9"
"NCF2"
"GADL1"
"CCNE1"
"C20orf94"
"SORBS3"
"HRNR"
"BRIP1"
"ZNF606"
"ZNF326"
"PPARD"
"TCF21"
"C2orf78"
"TP53"
"AP3M1"
"SLCO1B1"
"ZNF518B"
"PDE4DIP"
"FAT1"
"PAPPA"
"OR5D14"
"SLC32A1"
"CDH12"
"DOT1L"
"GRB10"
"SLC7A14"
"PTPN4"
"TTF2"
"PCDH10"
"ADCY4"
"FPR2"
"ADAMTS20"
"ANK2"
"CYYR1"
"DIDO1"
"DNAH9"
"TTC6"
"LRRTM4"
"FAM155A"
"CCDC165"
"SH2D4A"
"ZNF234"
"RP11-368J21.2"
"NAA15"
"TMC5"
"CER1"
"ZNF167"
"C9orf41"
"HEPH"
"RGPD3"
"KCNV1"
"ATP12A"
"C12orf51"
"ANKS1B"
"COL12A1"
"RPS6KB1"
"TAF3"
"RYR3"
"COL23A1"
"NIN"
"ARAP3"
"MAPKBP1"
"EFCAB2"
"LRRC7"
"SERPINA3"
"PDIA6"
"CST9L"
"ACCN5"
"FLJ90650"
"ASXL1"
"AGAP4"
"PCDHB15"
"SLC28A1"
"FUT8"
"FANCI"
"OVCH1"
"OR13C2"
"PLA2G4A"
"CDH10"
"MIA2"
"FUT11"
"USP28"
"CSN2"
"WDR1"
"CATSPERB"
"CCDC14"
"ACADVL"
"CCDC88A"
"PARP11"
"RANBP2"
"RPAP3"
"AC100793.1"
"PDGFRA"
"ARHGAP24"
"KIAA1211"
"ANXA10"
"C15orf54"
"SUPT16H"
"MOV10L1"
"HTR1E"
"PKD1L1"
"LRRC15"
"TRAF6"
"LRIT3"
"ZNF334"
"KCNN2"
"RFTN2"
"KNDC1"
"PCSK5"
"BOD1L"
"PCDHB4"
"NANOGP1"
"KCNC4"
"MUC16"
"C6"
"PDK1"
"AC136604.1"
"HOXA2"
"FCAR"
"ARAP2"
"R3HDM2"
"CAND1"
"CHODL"
"EFNA1"
"KRAS"
"TMEM194A"
"OR1L8"
"SAMD7"
"SERPINA9"
"ZNF491"
"PHGDH"
"GIMAP8"
"NTSR1"
"KDM4B"
"ECE1"
"ABLIM1"
"SP2"
"LILRB4"
"LHX8"
"EFR3B"
"GTPBP10"
"MT4"
"C4orf21"
"OTOL1"
"CDH8"
"RASGRP4"
"USO1"
"LPHN3"
"TIMM22"
"COL6A3"
"TIAM1"
"KLRD1"
"GAS2"
"SPAM1"
"OR5AU1"
"EAPP"
"HERC6"
"COL1A2"
"MYF5"
"ZNF131"
"SUPV3L1"
"FBXO8"
"SEC16B"
"SNRNP48"
"FLVCR2"
"CDH23"
"DUOX1"
"TBC1D9"
"GPC3"
"EHMT1"
"CKAP2L"
"LRRTM3"
"OSBPL3"
"IMPG1"
"SPTA1"
"HDGF"
"NSMAF"
"TGM3"
"SERPINB13"
"STX18"
"SLCO2A1"
"PPP2R3C"
"PXDNL"
"HAUS2"
"ENSG00000219492"
"SIPA1L1"
"KCNA1"
"NLRP4"
"SERPINE1"
"VIPAR"
"RARS2"
"LZTR1"
"FN1"
"KALRN"
"RGS12"
"GUCY2F"
"GRINL1A"
"MSH4"
"NRXN1"
"FLRT2"
"LAMB1"
"OR2D3"
"SNTG1"
"BMP10"
"TPP2"
"MYH4"
"DDX6"
"AMOTL1"
"POU4F3"
"MLXIP"
"ZNF432"
"SNRPN"
"PIGN"
"OR4K13"
"PKP2"
"ATP8A2"
"RALYL"
"PCDHAC1"
"JAKMIP1"
"POTEF"
"RC3H2"
"CDK10"
"IGSF11"
"COLEC12"
"COG6"
"RAPGEF2"
"EYS"
"INPP5D"
"MRGPRF"
"CXXC4"
"PLCB1"
"CCBE1"
"C1R"
"PLSCR5"
"LAMA1"
"KIAA1404"
"AVPR1A"
"POTEA"
"OSR1"
"FLCN"
"MAGEE2"
"EP400"
"IFRD1"
"BARD1"
"FAT4"
"ITPA"
"NTF3"
"HEATR8"
"RIOK3"
"TMEM176B"
"KCNK17"
"NUFIP1"
"ZFP106"
"USP14"
"TOP2B"
"OR52E2"
"ZNF454"
"MYLIP"
"DEFB125"
"STK25"
"FARSB"
"SEPT1"
"LGALS9B"
"EEF1A1"
"FRMPD2"
"CALCA"
"AK5"
"PPP1R16A"
"RDM1"
"SNX10"
"MAN2A1"
"P4HA2"
"KIAA1409"
"OSBPL8"
"WFIKKN2"
"TTC7B"
"IRF2"
"ACSL6"
"MRGPRD"
"ADAM2"
"NUAK1"
"LRRC4C"
"LRP2"
"FBN1"
"DACH1"
"PPARA"
"DTX2"
"STK36"
"GSTA2"
"AFTPH"
"CAPN12"
"C7orf10"
"UPP2"
"HMMR"
"SEPT11"
"HIVEP1"
"OR3A3"
"HSD17B13"
"ABCA9"
"RHOT1"
"USP35"
"DHX40"
"CD97"
"HTR3E"
"HOXA6"
