"TACC2"
"CCDC57"
"HERC2"
"ARSE"
"CES4A"
"C2orf78"
"C4orf19"
"NR2C2"
"RAPGEF1"
"ZNF700"
"ZNF180"
"TACR1"
"LIG3"
"ADCY8"
"MYO18B"
"SFT2D2"
"DPP6"
"FCRL5"
"RNF150"
"PDGFRA"
"TG"
"PGRMC1"
"C9"
"PLIN3"
"ABHD5"
"ZNF613"
"DST"
"ABCA13"
"UBE2O"
"C1orf63"
"C10orf6"
"CDC42BPB"
"NPHP1"
"PSTPIP1"
"ZNF665"
"DPP10"
"DSP"
"ADPRHL2"
"PRR21"
"SF3B2"
"OBSCN"
"WDR3"
"IQCE"
"SLFN12L"
"GPR155"
"MLL2"
"CYP27A1"
"OTOG"
"OR2T4"
"ZNF628"
"INPP5K"
"LRG1"
"GOLGA1"
"ZSWIM5"
"GTF3C1"
"LCE3E"
"ANKRD26"
"KIAA1429"
"HK2"
"ZP1"
"HMGCS2"
"PALM"
"KRT82"
"GTPBP3"
"IKBIP"
"KRTAP10-5"
"SI"
"RGPD4"
"GPR114"
"KDM2A"
"ZNF711"
"DAZAP1"
"EIF2B4"
"RCN1"
"ARID5B"
"KIF26B"
"PIPOX"
"FAT4"
"LPPR2"
"HSPA1L"
"PRKAR1B"
"ACSS1"
"NSRP1"
"GABPB2"
"ZBTB20"
"Q8NGM4"
"TP53"
"C12orf51"
"SLC24A1"
"CEP104"
"GANAB"
"CLEC4F"
"ZBTB6"
"C19orf44"
"CCR7"
"RET"
"CD163L1"
"SFI1"
"ABL2"
"MEFV"
"TXNDC5"
"HOXD12"
"PTPN13"
"TMEM143"
"C11orf71"
"HDAC7"
"SLC26A11"
"TBX5"
"TRIM74"
"TTC3"
"ZC3H7A"
"GOLGA6A"
"ITGA7"
"ANKRD20A2"
"DCST2"
"FAM149B1"
"NEFM"
"RAI1"
"CNIH2"
"ADSS"
"B4GALT2"
"LRP5L"
"FCGBP"
"KRTAP24-1"
"CLCN6"
"FLG2"
"FAM75A3"
"CACNA1I"
"ZCCHC6"
"CCDC40"
"NCKAP1L"
"FBLN1"
"CSTA"
"C19orf2"
"CASP7"
"ABCF2"
"STK32B"
"TMEM63B"
"PPL"
"JPH1"
"PCDH1"
"CNTNAP1"
"ZPBP2"
"RC3H1"
"ANKHD1-EIF4EBP3"
"HERC1"
"ARMCX2"
