"WBSCR16"
"CCNB1IP1"
"PREPL"
"GLIS1"
"ATP6V1C1"
"OR52K2"
"CNDP1"
"G6PC2"
"TNRC6A"
"RB1"
"METTL9"
"ACOXL"
"FUT9"
"ZNF365"
"MFI2"
"DMPK"
"MLL3"
"ARHGAP35"
"RHEB"
"POM121C"
"TET2"
"BHMT2"
"SPATA8"
"PPFIA4"
"DKK2"
"HS2ST1"
"STK17B"
"MRPL4"
"TTN"
"CTBP1"
"ERBB2IP"
"HFM1"
"MARK3"
"CNTN4"
"FGGY"
"ZNF835"
"ANKRD6"
"APP"
"PARP4"
"RFX6"
"PLIN5"
"KRTCAP3"
"INTS6"
"RASA3"
"GIMAP6"
"ZNF518B"
"PKHD1L1"
"TMC3"
"PPFIA2"
"VPS13A"
"ACSM4"
"ATG13"
"WDFY3"
"EGR3"
"URGCP"
"GABRA6"
"TMPRSS12"
"DLG5"
"RXFP2"
"OR8J3"
"MAP2K1"
"CILP"
"NCOA7"
"UQCRC2"
"SDCCAG3"
"DTX3"
"ZSCAN10"
"RHBDL2"
"DDX60L"
"MEIG1"
"PXDNL"
"GIGYF2"
"PTTG2"
"TRAF3"
"PRKAR2B"
"GRIK3"
"KITLG"
"NLRP5"
"MMP27"
"ZNF814"
"DNAH11"
"SPATA1"
"PLEKHG4B"
"ZEB2"
"TP53"
"ACSM2A"
"DDX60"
"PTPN4"
"GRHL1"
"MEGF11"
"PCDHB12"
"TNN"
"CUZD1"
"FAM71E1"
"SRCAP"
"MAN2B2"
"PHF20"
"CSTF2T"
"PTPN6"
"POF1B"
"UGT3A2"
"KIAA1009"
"SEC16A"
"RNASEL"
"C10orf68"
"ARFIP2"
"SP140L"
"ASB17"
"ADCK4"
"ABCC11"
"FLNC"
"RTKN2"
"SCN1A"
"PLD5"
"PDLIM1"
"ZFHX2"
"TNNI3K"
"STK11"
"FAM71F2"
"PDE9A"
"MDN1"
"VN1R2"
"CHD5"
"PGLS"
"TAS2R60"
"DCHS1"
"CXCR2"
"COL21A1"
"ELFN2"
"ARHGAP21"
"SARDH"
"SDK1"
"PKD1L3"
"ZFP106"
"TMPO"
"SNX18"
"FRMD4A"
"SPTA1"
"TGM4"
"MAD1L1"
"KIAA1826"
"SORBS1"
"OR5T1"
"C21orf67"
"FCGBP"
"RFPL4B"
"DCLRE1C"
"DDX58"
"GNE"
"PCDHB15"
"EYS"
"NIPAL4"
"NEBL"
"ZNF480"
"HOXB1"
"KIAA2022"
"SLC8A1"
"SHQ1"
"ACSM2B"
"WDFY4"
"RABEP1"
"SRBD1"
"ARL6IP6"
"SPATS2L"
"B3GNT2"
"GABRG1"
"CRAMP1L"
"RPH3A"
"COL4A2"
"KIAA1310"
"ATMIN"
"ROPN1L"
"O3FAR1"
"TNC"
"CYP3A5"
"CLPTM1"
"WFIKKN2"
"NUFIP2"
"CASS4"
"TAS2R19"
"ARAP2"
"CD2AP"
"RSPO1"
"B3GNT4"
"PKN3"
"DCHS2"
"WIPF2"
"PLCL1"
"NUP188"
"SULF1"
"CTCF"
"KIAA1804"
"ZNF730"
"HYDIN"
"IL12A"
"PTPRB"
"TP63"
"C7"
"ABCB4"
"LIFR"
"BSND"
"SLC2A10"
"KIAA0240"
"OLFM3"
"GOLGA8IP"
"PIAS1"
"SULF2"
"PLK1"
