"NIPA1"
"IKBKAP"
"RALGAPA2"
"TNS3"
"ZNF670"
"SLA"
"SCN11A"
"DCAF4L2"
"SIPA1L1"
"F2RL3"
"CD5"
"SYNGR1"
"GRIA2"
"SLC27A6"
"SIPA1"
"DCDC5"
"EP300"
"DCP1B"
"HEPHL1"
"EDNRA"
"NARF"
"POU1F1"
"BRAF"
"KIAA1009"
"BTNL10"
"TFB1M"
"ZDHHC4"
"ZNF814"
"VPS33B"
"EFR3A"
"COL6A6"
"GRIA4"
"TAS2R16"
"SLC39A12"
"STK11IP"
"APOB"
"OR6K6"
"C12orf35"
"GGTLC1"
"AHCY"
"WDR48"
"UHRF1BP1L"
"GPR34"
"TCEB3C"
"PTPN13"
"ZNF90"
"MUC19"
"SEMA3F"
"APOBEC3D"
"ACAD8"
"HEG1"
"NFIC"
"SAMD3"
"ADGB"
"CCDC121"
"F5"
"NELL1"
"ZNF257"
"PPP1CA"
"USP19"
"C9"
"NRD1"
"ABCC10"
"EXOC3L2"
"ASTN1"
"PPP6C"
"PAGE4"
"CAPN2"
"KALRN"
"ANKRD13B"
"PPARGC1B"
"CYP4Z1"
"SPHKAP"
"SP100"
"GRIK2"
"C1orf173"
"HPS3"
"CD1A"
"MRPS10"
"HERC2"
"A1CF"
"PTGES2"
"C4orf46"
"LAIR1"
"MAPKBP1"
"PPP4R1L"
"KCNAB1"
"SLIT2"
"NES"
"SGCD"
"F13A1"
"IL2RB"
"GPR112"
"BLACE"
"UTP18"
"TTLL2"
"BTNL3"
"EZR"
"SLC37A1"
"NAALADL2"
"SH3GL2"
"PNLIPRP1"
"C11orf2"
"DNAH7"
"ARRDC5"
"GAL3ST3"
"IFNA4"
"PCDHA4"
"WDR49"
"RGPD4"
"TRPV5"
"MTUS1"
"PCDHB1"
"FAM184B"
"SFTPA1"
"SEPT8"
"OTOF"
"DNMT1"
"C6orf105"
"NBEAL2"
"ARHGEF2"
"OR51V1"
"MCTP1"
"MCF2"
"TM9SF4"
"TRIM36"
"ARPP21"
"C2CD3"
"SLITRK2"
"PCDHB2"
"CCDC144B"
"LPA"
"KIAA0947"
"NKAIN3"
"C4orf22"
"PCDHB11"
"MCTP2"
"ACSM1"
"PHC2"
