"GPR125"
"LIN37"
"RPAP1"
"ATN1"
"CBR4"
"FLG"
"CEP44"
"WDR6"
"MAN2B2"
"ASPSCR1"
"NIPBL"
"PHLPP2"
"STARD8"
"HNRNPCL1"
"AIM2"
"Q8N9Z5"
"RAD21L1"
"C1orf191"
"FYCO1"
"KRT24"
"TTC23"
"SLTM"
"ENSG00000101152"
"AKR7A2"
"NUPL2"
"IL1RAP"
"CXorf26"
"CSMD3"
"AC022431.2"
"NSF"
"LAMA1"
"GNB1L"
"LOC440345"
"CMIP"
"SDK1"
"Q3ZCN4"
"SYTL2"
"VPS33A"
"SLC22A25"
"KRTAP4-5"
"WDR76"
"TMEM183A"
"CPEB3"
"UMODL1"
"OR7A2P"
"AKAP9"
"MCAM"
"PRR14"
"COLQ"
"GSN"
"C14orf49"
"POTEC"
"C9orf86"
"Q9H693"
"Q8NH46"
"STAU2"
"FGD1"
"FAT1"
"LRAT"
"DPY19L3"
"MAP1S"
"GBP7"
"ANKRD30B"
"DKFZP564O0823"
"PRPS1L1"
"AHNAK2"
"CASP8"
"USH2A"
"ANK2"
"UBA6"
"BLVRA"
"KRT86"
"NHSL1"
"CNTNAP3B"
"MYH7"
"AC008060.7"
"SREBF2"
"PTEN"
"MEIS1"
"MARVELD2"
"PXDN"
"RRAS2"
"TRIM61"
"EPHB2"
"KIFC1"
"RPP40"
"CCDC82"
"TMF1"
"BDNF"
"KIAA1383"
"FANCM"
"KATNAL2"
"PTK2"
"ASAP1"
"RIBC2"
"ABL2"
"TIGD7"
"NSUN4"
"UNC13C"
"ZMYM3"
"STIL"
"RHPN1"
"P4HB"
"JAG1"
"MOV10L1"
"NOTCH3"
"THRB"
"HBG2"
"ITGAD"
"NR1D2"
"ATG16L1"
"ASTN2"
"PFKFB2"
"KANK1"
"AC025287.1"
"TMED1"
"CRIPAK"
"AMPH"
"DKK2"
"RTTN"
"PTCH2"
"ITGA6"
"MAN2C1"
"OPRM1"
"SIPA1L2"
"ST6GALNAC6"
"WDFY4"
"CCDC150"
"TRIM10"
"TTLL12"
"ATXN7L1"
"TMEM119"
"NEFM"
"CHL1"
"PLCG1"
"RBBP8"
"YARS2"
"CELSR3"
"SLC22A14"
"RFPL3"
"KRTAP29-1"
"PISD"
"KCNQ3"
"CCDC62"
"ZNF260"
"MMADHC"
"ATF7IP"
"BRF1"
"LCE1E"
"CHRDL1"
"NTM"
"CHST1"
"ANKRD18A"
"IL12RB2"
"CHD6"
"LRP5"
"ZNF222"
"EPOR"
"PBX1"
"EPB41L3"
"ZNF641"
"RPSAP58"
"GABRD"
"KRT76"
"PCCB"
"KLHL3"
"KIAA1958"
"LRRC37A2"
"FAM155B"
"LSM14B"
"LAMA5"
"C14orf166B"
"EME1"
"PCDHB2"
"LARP7"
